RSI,ULTOSC,STOCHRSI,+DI,-DI,ROC,PD,CHANGE
49.0726,38.7023,67.7002,17.8839,21.5129,-0.026,0.6,0
54.0317,48.5971,94.3716,17.7799,21.5895,0.2975,-0.2,0
44.7264,44.2245,29.1725,18.8332,25.6492,-0.1897,-0.2,1
48.035,41.2322,72.4054,18.0516,21.2833,-0.4043,0.6,1
47.4429,35.2274,40.2353,14.1612,18.4068,-0.0353,-0.2,1
74.2249,67.8211,96.7887,27.8177,12.843,0.5331,1.0,1
76.7777,67.6643,88.2075,30.2394,10.3306,0.7052,0.6,1
70.5239,73.0499,57.408,27.2218,12.2998,0.2399,0.2,1
61.8013,61.9598,68.9699,23.3852,18.0242,0.1171,-0.2,0
53.0769,58.2726,19.8784,19.019,18.1209,-0.0189,-0.6,0
52.3081,58.9767,55.2786,15.6451,16.3305,-0.0336,0.2,0
48.1751,51.2407,15.1719,18.4098,18.8037,-0.1034,0.2,0
43.7769,30.5909,32.8598,13.3549,18.8935,-0.1897,0.2,1
47.514,49.5834,75.3555,13.7818,19.8879,-0.0778,0.2,1
50.0355,47.8907,31.9554,18.1904,18.6129,0.2475,-0.6,1
49.9176,40.1893,41.0089,15.0419,16.8286,0.0736,0.2,1
62.196,59.3687,90.1476,19.4813,12.803,0.186,0.6,1
53.454,57.3962,25.3813,25.1853,13.8556,0.1978,-0.2,1
59.4717,53.9416,72.8429,23.5569,11.8244,0.1544,0.2,1
66.9076,62.1731,99.9875,22.7082,8.803,0.1572,0.2,1
65.8799,60.9796,89.4931,22.7996,8.7972,0.1451,0.2,1
68.0377,61.974,58.3581,35.1272,10.2286,0.6357,0.6,1
67.1588,60.3753,55.0727,35.1272,10.2286,0.6317,0.6,1
52.4189,49.941,7.6545,30.4518,12.0135,0.1002,-0.2,0
48.9779,47.8155,7.4612,29.8335,13.7999,0.0333,-0.2,0
43.5,46.5085,30.6043,22.1607,19.069,-0.1704,-0.2,0
45.1108,46.2888,24.4593,21.8177,18.7539,-0.3008,-0.2,0
43.558,43.4758,14.6845,17.5676,14.2696,-0.1118,0.2,1
44.6168,43.5778,17.964,17.4871,14.2696,-0.1214,0.2,1
44.1489,36.0978,7.8888,18.7625,12.8458,-0.0648,-0.6,1
43.5486,34.6737,0.0072,18.5626,13.7743,-0.0725,-0.6,1
78.661,57.7091,96.9095,43.9417,8.6641,0.7623,1.0,0
79.0398,57.3748,94.6209,44.4557,8.5846,0.7228,1.0,0
58.7001,47.5772,54.6753,32.1674,14.921,-0.0988,0.2,0
57.7315,46.4237,52.7189,32.1674,14.921,-0.1031,0.2,0
47.34,36.0197,26.3146,23.379,18.0367,-0.095,0.2,1
47.5076,37.2627,27.5141,23.379,18.0367,-0.1082,0.2,1
54.9318,53.3655,73.622,21.5285,16.1865,0.1707,0.2,1
51.165,50.5215,60.239,21.0496,17.0326,-0.1122,0.0,0
56.6533,52.2183,79.4057,23.1264,17.8083,-0.018,0.2,0
50.5353,37.8235,48.5062,18.5888,17.0363,0.0625,0.2,0
56.2898,51.7467,82.2031,21.3804,15.8901,0.0819,0.2,0
42.3477,42.1126,9.7495,25.2811,26.054,-0.3021,-0.2,1
45.92,44.1712,82.9724,17.7484,29.57,-0.5597,0.2,1
60.0001,57.1936,59.5125,35.2587,17.5474,0.7142,0.2,0
59.3458,52.363,40.9235,29.3448,15.3538,0.3128,-0.6,0
52.0446,39.521,54.0564,22.2214,18.4813,-0.2469,-0.2,0
54.1446,49.072,80.177,21.0975,17.6247,-0.036,-0.2,0
50.9854,53.103,43.4025,17.9569,17.2934,-0.0008,-0.2,1
52.2956,48.7144,77.1126,19.0497,17.7091,-0.1387,-0.2,1
58.3114,44.8161,87.3007,21.2583,16.8023,0.082,0.2,1
64.416,65.3462,78.6229,23.2221,14.9226,0.3061,0.2,0
62.9627,62.5102,86.0827,23.4988,14.5805,0.2691,0.2,0
46.469,41.3236,34.323,20.588,28.1294,-0.1735,-0.2,1
57.1881,55.8274,99.9907,23.5157,20.2104,-0.1227,0.0,1
65.2947,60.4226,91.9081,27.9043,14.9427,0.4639,0.6,1
81.7555,75.0536,97.735,44.169,8.9236,2.1754,0.2,0
66.7473,50.2356,42.3894,24.7599,10.2293,1.6744,0.2,0
66.0269,56.8273,63.2423,23.3298,8.0309,0.6007,-0.2,0
46.6914,60.0919,38.7675,12.3588,23.3696,-1.0724,-0.6,1
49.1901,61.3321,77.3907,13.275,21.2974,-1.1076,0.2,1
49.9397,65.864,70.1382,12.6839,20.6611,0.14,0.2,0
44.2217,55.3051,46.7844,12.362,22.7705,-0.2259,-0.2,0
44.3489,56.1236,36.1687,11.9582,23.79,-0.2657,-0.2,0
49.2438,55.3563,92.6808,14.8657,26.2972,-0.0968,0.2,0
29.8301,51.3613,21.5755,12.3359,33.1945,-0.6311,-1.0,1
31.454,41.7608,23.5656,14.7451,24.4964,-0.747,0.2,1
49.5147,55.7472,66.6127,20.2045,18.6821,0.0536,0.2,1
57.5285,55.7139,78.9826,23.2189,15.8771,0.371,0.6,1
58.1413,57.4653,9.8829,26.3559,16.3653,0.1461,-1.0,0
66.9161,46.8796,87.469,22.4851,16.25,-0.1193,0.6,0
41.9486,42.8804,4.9024,22.1267,26.2013,-0.0791,-0.6,1
47.812,33.8995,67.1436,20.3801,21.1917,-0.2852,0.6,0
75.072,68.9686,94.1424,35.3152,14.6259,0.758,0.6,0
39.0846,43.0374,0.0,22.0537,29.303,-0.1432,-0.6,1
30.6372,38.8154,16.486,14.7502,32.5701,-1.0662,-0.6,1
51.9103,57.4813,90.8993,22.7487,23.1162,0.0678,0.6,1
46.119,57.0183,24.3651,25.6515,29.1281,0.3315,0.2,1
50.755,56.0893,44.1074,25.9846,24.307,0.1317,0.2,0
55.4114,50.0949,72.024,28.4538,23.0196,0.1969,0.6,0
47.5626,49.4599,81.6239,21.4884,25.3761,0.085,0.2,1
47.7108,47.859,72.7245,19.036,23.4215,-0.3478,0.2,1
53.9407,54.515,69.4998,20.6356,18.3425,0.2103,-0.2,1
71.5531,71.1168,97.4099,30.1373,13.6842,0.4738,1.0,0
45.9776,52.5896,6.9,21.4299,22.8848,-0.0105,-0.6,0
46.1821,52.3649,14.7867,26.8063,21.7117,-0.4004,-0.2,0
41.547,52.2154,37.0415,19.7394,22.1854,-0.2922,-0.6,1
43.0817,49.9177,43.2536,19.3511,19.0541,-0.4045,-0.2,1
54.1623,55.9548,59.173,26.0851,17.953,0.3545,0.2,0
56.793,46.8913,98.1549,23.8719,20.8271,0.3922,0.2,0
37.0225,48.7371,30.3099,9.4839,25.3555,-0.3315,0.2,1
51.4149,68.4014,59.4018,11.6397,18.0208,0.0749,0.2,1
62.9837,51.5475,54.989,23.682,9.9968,0.3731,0.6,0
50.0947,45.4747,39.7931,16.2917,18.9507,-0.1629,0.2,1
63.1822,48.3072,59.5086,27.5577,11.9266,0.1927,0.2,1
61.628,54.0516,58.0384,22.8511,14.1587,0.1714,-0.2,1
46.2595,43.8436,6.4466,18.2346,19.5587,-0.0243,-0.2,0
47.5955,54.2353,44.6193,12.1612,21.3945,-0.0143,-0.2,0
42.8558,48.0483,52.5342,9.7014,18.6294,-0.0182,0.2,1
60.599,59.9436,86.7833,15.1857,12.254,0.1291,-0.2,0
46.2259,36.6433,52.7972,12.8534,18.4088,-0.0977,0.2,0
34.1878,49.7135,56.7891,7.7201,24.9306,-0.0973,-0.6,1
59.4238,62.3953,64.7563,19.1452,18.5766,0.2002,0.6,1
72.8315,76.9253,99.779,28.9559,15.1618,0.3089,0.2,1
73.5331,59.1433,88.5264,28.4665,9.9613,0.2012,0.2,0
61.5468,56.6826,91.8965,22.2344,15.0812,0.0611,0.6,1
46.7313,39.1345,5.739,23.7724,18.3441,-0.0016,-0.2,0
43.3009,56.663,55.2361,14.528,18.7715,0.0321,-0.2,0
38.9066,47.2692,47.1298,11.4839,25.8822,-0.1743,0.2,1
49.0963,43.7631,72.9713,16.925,20.9198,-0.005,0.2,0
36.2289,25.9156,29.2532,14.2877,27.9057,-0.1507,-0.6,1
54.0511,58.5697,84.38,17.0941,16.2754,0.1778,0.6,0
50.2153,44.7395,50.5434,17.6784,17.0012,-0.0086,-0.2,0
41.3166,41.027,38.2619,10.0658,24.8715,-0.2279,-0.6,1
57.1816,45.4363,35.3387,20.7803,14.5329,0.2724,0.2,1
58.7907,50.9952,47.5756,26.9441,11.0985,0.1282,-0.2,0
34.3695,49.7366,31.0722,16.6189,31.5342,-0.2285,0.2,1
53.4164,55.4281,91.5844,16.7365,24.2737,0.1121,0.6,0
19.7767,36.3021,14.5799,7.4668,34.0322,-0.5005,-1.0,1
54.1341,58.2899,95.0422,21.4814,22.9955,0.2811,0.6,1
55.5384,63.8067,25.8543,22.3844,17.5736,0.1353,-0.6,1
61.9117,64.1046,45.736,25.0024,13.1823,0.116,0.2,0
38.3834,49.4776,29.0935,15.0679,26.7896,-0.3508,-0.2,0
40.5628,55.7876,72.8982,11.2913,23.8663,-0.0472,0.2,0
49.064,56.0565,80.9823,19.8229,26.5594,-0.1461,0.2,0
43.7285,46.57,68.5125,20.3128,22.5161,-0.1545,0.6,1
69.1467,48.7201,67.277,28.7867,14.8313,0.1654,0.6,1
53.9044,57.8697,17.6852,21.8974,15.7742,0.0032,0.2,0
35.3634,40.7285,38.6242,17.0357,24.964,-0.3044,-0.2,0
30.196,42.0823,3.4853,11.3816,26.8304,-0.1907,0.2,1
51.4043,51.445,94.3309,11.6298,22.5593,0.1754,0.2,0
38.1471,53.8714,64.7375,13.2589,33.278,-0.4755,0.2,0
35.5143,49.7304,8.1734,15.4393,27.483,-0.3182,-0.2,0
38.2905,39.306,41.158,22.4627,29.0466,-0.3366,-0.6,1
54.7924,53.2874,96.4491,32.0587,25.121,0.1236,0.2,1
58.9988,44.5261,75.8295,30.528,18.2144,-0.0711,0.6,1
55.5182,41.7536,11.3236,30.6843,15.4568,0.1165,0.2,1
60.2154,44.3362,84.3685,30.4232,14.7619,0.2246,-0.2,1
54.1939,53.8583,67.1544,27.2466,16.5028,0.0429,-0.6,1
52.44,57.7686,58.7259,22.8362,16.3255,0.0606,0.6,0
49.4631,57.7707,63.4435,19.1328,18.3196,-0.1174,-0.2,1
60.5644,71.0222,68.4313,26.4552,13.4488,0.2494,0.6,0
55.2354,52.009,95.3136,21.7926,19.035,-0.1213,-0.2,0
48.8734,53.6409,98.7869,17.7802,20.8075,-0.0905,-0.2,0
35.9154,54.8225,51.2878,9.2903,32.5569,-0.4421,-0.6,0
36.6842,37.4638,11.0172,13.7494,27.635,-0.1242,-0.6,1
42.2371,40.4313,12.863,14.2299,24.6732,0.0053,-0.2,0
55.7541,59.7643,89.4788,24.2487,24.2504,0.125,0.6,0
55.0471,52.828,74.5485,21.5902,17.854,0.1145,-0.2,0
46.7079,43.1808,47.0971,14.2954,19.5,-0.1414,0.2,0
49.1609,49.5433,27.7307,23.3967,27.4164,-0.017,0.2,0
35.217,33.9992,24.5943,9.7476,28.4071,-0.6558,-0.2,0
34.3137,32.7532,0.1166,12.5839,34.7571,-0.6324,-0.6,1
58.9918,57.7361,76.8126,25.1536,19.0582,0.4084,0.2,1
60.2281,63.7426,84.9931,23.6206,19.5748,0.1929,0.2,0
36.7493,50.6011,23.4749,13.9435,26.694,-0.3887,-1.0,0
33.4471,46.7058,43.0746,11.0876,23.7959,-0.624,-0.2,0
42.5271,50.2719,34.8841,14.9565,26.5646,0.0936,0.2,1
58.841,51.8837,33.1674,25.65,17.1192,0.695,-0.2,1
67.4089,56.057,40.9753,32.8339,9.7751,0.7139,0.2,0
55.0976,43.5722,14.8552,22.6251,17.6713,-0.0469,-0.6,0
26.0394,31.3967,2.3911,16.2239,29.1213,-0.5458,-0.2,1
46.6572,49.8481,61.6888,14.0089,19.4559,-0.0256,-0.2,0
29.6904,31.25,8.5942,10.6655,31.9942,-0.6485,-0.2,1
44.7983,39.1223,10.0889,19.2011,21.3194,0.2419,-0.6,1
46.7508,45.2157,43.7579,15.4881,21.0657,-0.0044,0.2,1
65.7954,55.834,76.3155,27.8607,15.0378,0.4724,0.2,1
59.2032,32.896,43.5059,26.2584,13.6988,0.0996,0.2,0
39.2465,29.0769,0.0,17.1989,19.1188,-0.2893,-0.6,0
32.4879,44.0203,4.624,11.7251,20.4463,-0.1767,-0.6,0
46.6146,50.9131,92.5149,10.0139,21.0867,0.0141,-0.2,0
45.2786,50.7777,52.1259,17.5086,27.7897,-0.3177,0.2,1
48.9667,36.8726,48.9201,17.7886,25.859,0.0254,-0.2,1
56.6759,48.1291,93.308,23.5635,22.5466,-0.0076,0.6,1
60.1478,47.6365,53.0651,31.6395,22.1797,0.1784,0.6,1
72.8094,69.8368,71.6571,39.4225,15.2304,0.4193,0.6,0
47.3592,47.2753,20.935,26.2288,19.574,-0.2685,-0.6,0
40.0524,46.1857,27.8923,17.7545,25.6259,-0.1656,0.0,1
57.9079,38.815,54.5975,15.4735,25.8008,0.1686,-0.2,1
60.9251,53.9055,39.1244,27.572,11.9401,0.1001,0.2,0
46.5082,37.2697,6.008,22.8812,14.4767,-0.054,-0.6,0
32.9672,35.3212,14.5041,14.753,22.5507,-0.2338,-0.6,1
66.2254,52.3248,81.7491,24.0192,13.1662,0.4926,0.2,0
44.4972,22.4125,6.284,20.7384,20.7815,-0.0796,-0.6,0
26.339,25.3369,15.2957,16.2384,27.8693,-0.2263,-0.2,1
62.8977,61.1008,84.1685,25.5946,17.3584,0.3525,1.0,0
48.0226,41.0565,40.6767,19.1967,19.6933,-0.1259,-0.2,0
48.0721,47.2729,59.9829,14.8944,20.1257,-0.134,0.2,0
37.6684,42.7768,45.2726,11.1505,27.8651,-0.2901,-0.2,1
53.1005,50.1542,64.0117,15.9656,16.3721,0.2138,0.2,0
46.3829,37.3714,50.2444,18.8485,17.6528,-0.0876,0.6,0
42.7403,38.131,81.1948,15.0561,21.6429,-0.0927,0.2,0
31.9869,33.6855,17.9713,13.1761,28.2147,-0.3614,-0.6,1
47.3324,47.0475,10.156,21.3506,15.5601,0.1247,-0.6,1
49.9597,47.9252,54.8603,17.6342,19.417,0.0288,0.2,1
57.8611,53.9551,69.5764,17.6008,15.8194,0.1314,0.6,0
43.2901,37.5741,0.0,19.0893,21.0842,-0.2151,-0.6,1
55.8338,49.1052,83.7085,23.7206,21.8923,0.1174,0.2,0
38.5632,46.8322,7.5726,14.635,21.8186,-0.2054,-0.6,1
56.2865,43.0787,73.7672,17.7051,15.0731,0.0773,0.6,1
70.8617,69.6023,99.9819,25.4814,11.7738,0.259,0.2,1
57.7651,46.7652,29.4371,24.1161,12.907,0.0312,0.2,0
45.0837,33.8271,3.845,18.3964,16.5392,-0.1564,-0.6,0
31.0301,30.2439,6.517,13.4128,24.3256,-0.2109,-0.6,1
46.2434,31.5524,40.4168,15.8593,18.3921,0.0544,0.2,0
48.1448,52.4126,80.3084,17.5075,24.4243,-0.0371,-0.2,0
36.8939,41.3666,18.8419,17.655,23.6191,-0.1357,0.2,1
48.5281,51.4949,59.7365,18.0405,20.8225,-0.0102,0.2,1
57.7394,59.7606,59.1002,22.5427,16.9402,0.1232,-0.2,1
65.8623,51.628,81.9831,30.1022,17.1059,0.043,0.2,0
43.8569,45.6439,38.8264,17.0198,16.4716,-0.3156,-0.2,0
